-697.58,1000,-568.49,176.78,0,176.78
-696.86,1000,-567.79,176.29,-0.039186,176.29
-696.14,1000,-567.09,175.82,-0.078267,175.82
-695.43,1000,-566.4,175.34,-0.11724,175.34
-694.72,1000,-565.71,174.86,-0.15611,174.86
-694.01,1000,-565.02,174.39,-0.19488,174.39
-693.3,1000,-564.34,173.92,-0.23354,173.92
-692.59,1000,-563.65,173.46,-0.2721,173.46
-691.89,1000,-562.97,172.99,-0.31056,172.99
-691.18,999.99,-562.29,172.53,-0.34892,172.53
-690.48,999.99,-561.61,172.07,-0.38718,172.07
-689.78,999.99,-560.93,171.61,-0.42534,171.61
-689.08,999.99,-560.25,171.16,-0.4634,171.16
-688.39,999.99,-559.58,170.71,-0.50136,170.71
-687.7,999.98,-558.91,170.26,-0.53923,170.26
-687,999.98,-558.24,169.81,-0.577,169.81
-686.31,999.98,-557.57,169.37,-0.61468,169.37
-685.62,999.98,-556.9,168.92,-0.65226,168.92
-684.94,999.97,-556.24,168.48,-0.68975,168.48
-684.25,999.97,-555.57,168.04,-0.72714,168.04
-683.57,999.97,-554.91,167.61,-0.76445,167.61
-682.89,999.97,-554.25,167.17,-0.80166,167.17
-682.21,999.96,-553.59,166.74,-0.83878,166.74
-681.53,999.96,-552.94,166.31,-0.87581,166.31
-680.85,999.96,-552.28,165.89,-0.91275,165.89
-680.18,999.95,-551.63,165.46,-0.9496,165.46
-679.51,999.95,-550.98,165.04,-0.98637,165.04
-678.83,999.94,-550.33,164.62,-1.023,164.62
-678.17,999.94,-549.68,164.2,-1.0596,164.2
-677.5,999.94,-549.03,163.78,-1.0961,163.78
-676.83,999.93,-548.39,163.37,-1.1326,163.37
-676.17,999.93,-547.75,162.96,-1.1689,162.96
-675.5,999.92,-547.1,162.55,-1.2051,162.55
-674.84,999.92,-546.46,162.14,-1.2413,162.14
-674.18,999.91,-545.83,161.73,-1.2774,161.73
-673.52,999.91,-545.19,161.33,-1.3134,161.33
-672.87,999.9,-544.55,160.93,-1.3493,160.93
-672.21,999.9,-543.92,160.53,-1.3852,160.53
-671.56,999.89,-543.29,160.13,-1.4209,160.13
-670.91,999.88,-542.66,159.73,-1.4566,159.73
-670.26,999.88,-542.03,159.34,-1.4922,159.34
-669.61,999.87,-541.4,158.95,-1.5277,158.95
-668.96,999.87,-540.78,158.56,-1.5631,158.56
-668.32,999.86,-540.16,158.17,-1.5985,158.17
-667.67,999.85,-539.53,157.78,-1.6338,157.78
-667.03,999.85,-538.91,157.4,-1.669,157.4
-666.39,999.84,-538.29,157.02,-1.7041,157.02
-665.75,999.83,-537.68,156.64,-1.7392,156.64
-665.11,999.83,-537.06,156.26,-1.7742,156.26
-664.48,999.82,-536.45,155.88,-1.8091,155.88
-663.84,999.81,-535.83,155.51,-1.8439,155.51
-663.21,999.8,-535.22,155.13,-1.8787,155.13
-662.58,999.8,-534.61,154.76,-1.9134,154.76
-661.95,999.79,-534,154.39,-1.948,154.39
-661.32,999.78,-533.39,154.02,-1.9826,154.02
-660.69,999.77,-532.79,153.66,-2.017,153.66
-660.06,999.77,-532.18,153.29,-2.0515,153.29
-659.44,999.76,-531.58,152.93,-2.0858,152.93
-658.82,999.75,-530.98,152.57,-2.1201,152.57
-658.2,999.74,-530.38,152.21,-2.1543,152.21
-657.58,999.73,-529.78,151.85,-2.1884,151.85
-656.96,999.72,-529.19,151.49,-2.2224,151.49
-656.34,999.71,-528.59,151.14,-2.2564,151.14
-655.72,999.7,-528,150.79,-2.2904,150.79
-655.11,999.7,-527.4,150.44,-2.3242,150.44
-654.5,999.69,-526.81,150.09,-2.358,150.09
-653.89,999.68,-526.22,149.74,-2.3918,149.74
-653.27,999.67,-525.63,149.39,-2.4254,149.39
-652.67,999.66,-525.05,149.05,-2.459,149.05
-652.06,999.65,-524.46,148.7,-2.4925,148.7
